Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 16,777,216
  lm_head                 : 2,097,152
  transformer_matrices    : 20,972,544
  scalars                 : 16
  total                   : 41,944,080
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 8.318209 | lrm: 1.00 | dt: 2464ms | tok/sec: 53,195 | mfu: 1.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.231160 | lrm: 1.00 | dt: 242ms | tok/sec: 541,170 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 7.849988 | lrm: 1.00 | dt: 243ms | tok/sec: 539,636 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.442455 | lrm: 1.00 | dt: 242ms | tok/sec: 540,626 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.087637 | lrm: 1.00 | dt: 243ms | tok/sec: 540,403 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 6.810007 | lrm: 1.00 | dt: 243ms | tok/sec: 540,233 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.582871 | lrm: 1.00 | dt: 243ms | tok/sec: 539,682 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.391219 | lrm: 1.00 | dt: 243ms | tok/sec: 539,616 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.233675 | lrm: 1.00 | dt: 243ms | tok/sec: 539,325 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.104835 | lrm: 1.00 | dt: 243ms | tok/sec: 539,512 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 5.994543 | lrm: 1.00 | dt: 243ms | tok/sec: 538,689 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 5.893351 | lrm: 1.00 | dt: 243ms | tok/sec: 538,786 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 5.806953 | lrm: 1.00 | dt: 243ms | tok/sec: 539,113 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 5.731880 | lrm: 1.00 | dt: 243ms | tok/sec: 538,836 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 5.668059 | lrm: 1.00 | dt: 244ms | tok/sec: 538,227 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.606993 | lrm: 1.00 | dt: 243ms | tok/sec: 538,621 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.560220 | lrm: 1.00 | dt: 243ms | tok/sec: 538,780 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 5.513352 | lrm: 1.00 | dt: 243ms | tok/sec: 539,012 | mfu: 13.0% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.468620 | lrm: 1.00 | dt: 243ms | tok/sec: 538,559 | mfu: 13.0% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.427814 | lrm: 1.00 | dt: 243ms | tok/sec: 538,388 | mfu: 13.0% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.393079 | lrm: 1.00 | dt: 244ms | tok/sec: 538,242 | mfu: 13.0% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 5.357120 | lrm: 1.00 | dt: 243ms | tok/sec: 538,568 | mfu: 13.0% | epoch: 1 | remaining: 297s    
step 00022 (0.9%) | loss: 5.327880 | lrm: 1.00 | dt: 243ms | tok/sec: 538,443 | mfu: 13.0% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 5.301005 | lrm: 1.00 | dt: 243ms | tok/sec: 538,443 | mfu: 13.0% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 5.273442 | lrm: 1.00 | dt: 243ms | tok/sec: 538,553 | mfu: 13.0% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 5.245694 | lrm: 1.00 | dt: 243ms | tok/sec: 538,610 | mfu: 13.0% | epoch: 1 | remaining: 296s    
step 00026 (1.2%) | loss: 5.220919 | lrm: 1.00 | dt: 244ms | tok/sec: 538,164 | mfu: 13.0% | epoch: 1 | remaining: 296s    
step 00027 (1.3%) | loss: 5.193214 | lrm: 1.00 | dt: 243ms | tok/sec: 538,650 | mfu: 13.0% | epoch: 1 | remaining: 296s    
step 00028 (1.4%) | loss: 5.166189 | lrm: 1.00 | dt: 243ms | tok/sec: 538,540 | mfu: 13.0% | epoch: 1 | remaining: 296s    
step 00029 (1.5%) | loss: 5.142992 | lrm: 1.00 | dt: 243ms | tok/sec: 538,780 | mfu: 13.0% | epoch: 1 | remaining: 295s    
step 00030 (1.5%) | loss: 5.120991 | lrm: 1.00 | dt: 243ms | tok/sec: 538,326 | mfu: 13.0% | epoch: 1 | remaining: 295s    
